# M=32, N=16, Vp=0.0, t=1.0, n=1, Vstart=-2.0, Vstop=2.0, Vstep=0.01, PBC
# start time 2022-01-22 21:58:59
#                       V#               S₀₋₅(n=1)#                 S₁(n=1)                 S₂(n=1)#                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)
     -1.570000000000E+00      2.167784755717E-01      1.306126240874E-01      1.014643281092E-01      8.714575543860E-02      7.834697859375E-02      7.213771568761E-02      6.736179239638E-02      6.348215638303E-02      6.021568669363E-02      5.739726413324E-02      3.455534178209E-01
     -1.560000000000E+00      2.143417298669E-01      1.286005324255E-01      9.984308484544E-02      8.578823317436E-02      7.717445706803E-02      7.110291752041E-02      6.643454643277E-02      6.264184900497E-02      5.944740095450E-02      5.668972446821E-02      3.434193118249E-01
     -1.550000000000E+00      2.119199142376E-01      1.266102302623E-01      9.824135661046E-02      8.444659676570E-02      7.601463651133E-02      7.007832328214E-02      6.551560044784E-02      6.180839314905E-02      5.868485739836E-02      5.598706865149E-02      3.412892171854E-01
     -1.540000000000E+00      2.095127550129E-01      1.246414237608E-01      9.665883495614E-02      8.312056258847E-02      7.486726834928E-02      6.906371460485E-02      6.460475790848E-02      6.098160689460E-02      5.792788372883E-02      5.528913100428E-02      3.391627985404E-01
     -1.530000000000E+00      2.071200031703E-01      1.226938386047E-01      9.509522951460E-02      8.180986512329E-02      7.373212209999E-02      6.805889092668E-02      6.370183959129E-02      6.016132499388E-02      5.717632358661E-02      5.459576097918E-02      3.370397426909E-01
     -1.520000000000E+00      2.047414321394E-01      1.207672179698E-01      9.355026621823E-02      8.051425529654E-02      7.260898379191E-02      6.706366799377E-02      6.280668218642E-02      5.934739758992E-02      5.643003538410E-02      5.390682210684E-02      3.349197567997E-01
     -1.510000000000E+00      2.023768358251E-01      1.188613207147E-01      9.202368571214E-02      7.923349899055E-02      7.149765453258E-02      6.607787649729E-02      6.191913702228E-02      5.853968904214E-02      5.568889123633E-02      5.322219102951E-02      3.328025667641E-01
     -1.500000000000E+00      2.000260268237E-01      1.169759197656E-01      9.051524193654E-02      7.796737570347E-02      7.039794921152E-02      6.510136083124E-02      6.103906889846E-02      5.773807684846E-02      5.495277597800E-02      5.254175661172E-02      3.306879157426E-01
     -1.490000000000E+00      1.976888348112E-01      1.151108006721E-01      8.902470085957E-02      7.671567734221E-02      6.930969532291E-02      6.413397795828E-02      6.016635501540E-02      5.694245065363E-02      5.422158625728E-02      5.186541911986E-02      3.285755628192E-01
     -1.480000000000E+00      1.953651050860E-01      1.132657603157E-01      8.755183934350E-02      7.547820713377E-02      6.823273189540E-02      6.317559637269E-02      5.930088399146E-02      5.615271133549E-02      5.349522969885E-02      5.119308946331E-02      3.264652817896E-01
     -1.470000000000E+00      1.930546972489E-01      1.114406057541E-01      8.609644412947E-02      7.425477864211E-02      6.716690851798E-02      6.222609515075E-02      5.844255495860E-02      5.536877016117E-02      5.277362412892E-02      5.052468849088E-02      3.243568600575E-01
     -1.460000000000E+00      1.907574840055E-01      1.096351531857E-01      8.465831092749E-02      7.304521487930E-02      6.611208445208E-02      6.128536307992E-02      5.759127672925E-02      5.459054800681E-02      5.205669685654E-02      4.986014633703E-02      3.222500976288E-01
     -1.450000000000E+00      1.884733500793E-01      1.078492270221E-01      8.323724360033E-02      7.184934750096E-02      6.506812782135E-02      6.035329785940E-02      5.674696702769E-02      5.381797463468E-02      5.134438400559E-02      4.919940181283E-02      3.201448061935E-01
     -1.440000000000E+00      1.862021912238E-01      1.060826590566E-01      8.183305343094E-02      7.066701607724E-02      6.403491487152E-02      5.942980536535E-02      5.590955178003E-02      5.305098802270E-02      5.063662989296E-02      4.854240183772E-02      3.180408082871E-01
     -1.430000000000E+00      1.839439133237E-01      1.043352877181E-01      8.044555846454E-02      6.949806743163E-02      6.301232929341E-02      5.851479897472E-02      5.507896445768E-02      5.228953374148E-02      4.993338644875E-02      4.788910090796E-02      3.159379365231E-01
