# M=22, N=11, Vp=0.0, t=1.0, n=1, Vstart=-2.0, Vstop=2.0, Vstep=0.01, PBC
# start time 2022-01-22 01:48:41
#                       V#                 S₁(n=1)                 S₂(n=1)#                 S₃(n=1)#                 S₄(n=1)#                 S₅(n=1)#                 S₆(n=1)#                 S₇(n=1)#                 S₈(n=1)#                 S₉(n=1)#                S₁₀(n=1)               S₀₋₅(n=1)#
     -1.800000000000E+00      2.742488190404E-01      1.803321624690E-01      1.421843052818E-01      1.213333870451E-01      1.077935647964E-01      9.800743748181E-02      9.043186470261E-02      8.429615261306E-02      7.917060006721E-02      7.479335673992E-02      3.933138391119E-01
     -1.790000000000E+00      2.712706479524E-01      1.776287563508E-01      1.399364642744E-01      1.194494179856E-01      1.061844678893E-01      9.660784852928E-02      8.919532156917E-02      8.318928811651E-02      7.816895886994E-02      7.387862562786E-02      3.909328448506E-01
     -1.780000000000E+00      2.683312331905E-01      1.749706040986E-01      1.377301671493E-01      1.176013845534E-01      1.046061429417E-01      9.523482209192E-02      8.798203830018E-02      8.210310305890E-02      7.718595492041E-02      7.298088144975E-02      3.885750257227E-01
     -1.770000000000E+00      2.654280545019E-01      1.723552847775E-01      1.355631881267E-01      1.157872403227E-01      1.030567065225E-01      9.388662184183E-02      8.679041024514E-02      8.103611047827E-02      7.622020682418E-02      7.209883794962E-02      3.862384356927E-01
     -1.760000000000E+00      2.625588711640E-01      1.697806512103E-01      1.334335470966E-01      1.140051609993E-01      1.015344779184E-01      9.256169699618E-02      8.561900258088E-02      7.998697884402E-02      7.527047559716E-02      7.123133967182E-02      3.839213283057E-01
     -1.750000000000E+00      2.597216853892E-01      1.672447928150E-01      1.313394762120E-01      1.122535147943E-01      1.000379527235E-01      9.125865862217E-02      8.446652893787E-02      7.895451267562E-02      7.433564698728E-02      7.037734573004E-02      3.816221311611E-01
     -1.740000000000E+00      2.569147113236E-01      1.647460041863E-01      1.292793916825E-01      1.105308373928E-01      9.856578049343E-02      8.997625956702E-02      8.333183329147E-02      7.793763612992E-02      7.341471651934E-02      6.953591609446E-02      3.793394242545E-01
     -1.730000000000E+00      2.541363486624E-01      1.622827584162E-01      1.272518698514E-01      1.088358107049E-01      9.711674574303E-02      8.871337736720E-02      8.221387453376E-02      7.693537902324E-02      7.250677677137E-02      6.870619994051E-02      3.770719215163E-01
     -1.720000000000E+00      2.513851600966E-01      1.598536843460E-01      1.252556268230E-01      1.071672447471E-01      9.568975170825E-02      8.746899962065E-02      8.111171325971E-02      7.594686486272E-02      7.161100649004E-02      6.788742569538E-02      3.748184550062E-01
     -1.710000000000E+00      2.486598519540E-01      1.574575470953E-01      1.232895010445E-01      1.055240621268E-01      9.428380640842E-02      8.624221140646E-02      8.002450039279E-02      7.497130054487E-02      7.072666123085E-02      6.707889249033E-02      3.725779613238E-01
     -1.700000000000E+00      2.459592575164E-01      1.550932313358E-01      1.213524383593E-01      1.039052847049E-01      9.289801063077E-02      8.503218441606E-02      7.895146734707E-02      7.400796744545E-02      6.985306526866E-02      6.627996278331E-02      3.703494698797E-01
     -1.690000000000E+00      2.432823225913E-01      1.527597268741E-01      1.194434791367E-01      1.023100220858E-01      9.153154753022E-02      8.383816752217E-02      7.789191747946E-02      7.305621367612E-02      6.898960457272E-02      6.549005596074E-02      3.681320927324E-01
